V,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24
66.6647,-0.1163462,-0.09252152,-0.08312727,-0.08797445,-0.09568091,-0.08581839,-0.06578671,-0.07012592,-0.0819591,-0.06935175,-0.06601648,-0.07100763,-0.059109769,-0.07421457,-0.08986246,-0.07873165,-0.08214008,-0.07563921,-0.053309847,-0.06233254,-0.08555477,-0.07656609,-0.09806528,-0.07063451
83.71582,-0.1805555,-0.17230068,-0.16068621,-0.16055403,-0.16548633,-0.15063553,-0.13742145,-0.14598143,-0.1504485,-0.13921913,-0.13390062,-0.13772388,-0.139151045,-0.14882768,-0.15629887,-0.14823794,-0.14804644,-0.14793654,-0.127421304,-0.13580013,-0.15584566,-0.15027306,-0.16801184,-0.14935269
79.51785,-0.1819087,-0.12293796,-0.11354508,-0.13272083,-0.14277008,-0.121671,-0.0938485,-0.08865539,-0.12287085,-0.10828999,-0.10135702,-0.11418763,-0.067228397,-0.10572158,-0.13218548,-0.12140869,-0.12167528,-0.10757129,-0.066288764,-0.09856413,-0.12344798,-0.11995385,-0.12694449,-0.06728501
91.76106,-0.206002,-0.16631525,-0.15833431,-0.16901715,-0.17708614,-0.15850029,-0.13953813,-0.13696486,-0.15887191,-0.14734885,-0.14171013,-0.15150945,-0.125498648,-0.15051622,-0.16846676,-0.15862637,-0.15518147,-0.15228816,-0.116800691,-0.14365292,-0.16456664,-0.15887841,-0.16591077,-0.12783692
71.77186,-0.1438351,-0.12024998,-0.10663213,-0.11144218,-0.1209236,-0.10653441,-0.08754497,-0.09353355,-0.10322007,-0.09086099,-0.08551272,-0.090553,-0.079023264,-0.0969336,-0.11022916,-0.1025289,-0.10321866,-0.09591234,-0.068214022,-0.08069743,-0.10587481,-0.09975843,-0.12285263,-0.08983393
84.06483,-0.1889823,-0.19759455,-0.18481452,-0.18441284,-0.18270547,-0.16288888,-0.15669566,-0.1701539,-0.17318011,-0.16009023,-0.15440003,-0.15684686,-0.166369696,-0.17169911,-0.1746229,-0.16587907,-0.16615629,-0.16784341,-0.160738936,-0.16028447,-0.17308515,-0.17100527,-0.18472099,-0.17630649
76.39399,-0.1598633,-0.12742064,-0.11780288,-0.124935,-0.13435108,-0.12119797,-0.09990268,-0.10054664,-0.11651797,-0.10492136,-0.10005892,-0.10648531,-0.088662221,-0.10951078,-0.12597355,-0.11674371,-0.11623629,-0.11111218,-0.080546543,-0.09783135,-0.12273679,-0.11553878,-0.13395186,-0.09920563
106.31838,-0.2316388,-0.22373056,-0.21164862,-0.21349363,-0.21747836,-0.19783544,-0.18764896,-0.19594974,-0.20088614,-0.19008534,-0.18435458,-0.18901126,-0.190085584,-0.19788462,-0.20676514,-0.19933014,-0.19617384,-0.19954567,-0.172530595,-0.18695665,-0.2057207,-0.20159804,-0.21438238,-0.19425406
70.86383,-0.1360719,-0.1166374,-0.10581181,-0.10888592,-0.11641781,-0.10433846,-0.08668029,-0.09234198,-0.10120997,-0.08938134,-0.08472618,-0.08924353,-0.081176219,-0.09579504,-0.10827112,-0.09946147,-0.10088624,-0.09577049,-0.072055985,-0.08174753,-0.10525405,-0.09793042,-0.11933277,-0.09263865
77.04338,-0.1564934,-0.13687442,-0.12743943,-0.13145309,-0.13691057,-0.12518093,-0.10701556,-0.11262855,-0.12351365,-0.11076988,-0.10721101,-0.11252558,-0.104292939,-0.11735115,-0.13147512,-0.11981964,-0.12269593,-0.11945767,-0.097875586,-0.10678873,-0.12863779,-0.12025869,-0.13932356,-0.11491248
74.32606,-0.1705199,-0.09500071,-0.08612316,-0.11196821,-0.12437364,-0.10444614,-0.064734,-0.05026752,-0.10274523,-0.09133816,-0.08062563,-0.09618711,-0.020709592,-0.08300327,-0.11621144,-0.10406572,-0.09616256,-0.07417216,-0.031881305,-0.08210871,-0.10217169,-0.10315532,-0.09128598,-0.01621272
101.61381,-0.2330836,-0.17622836,-0.17034165,-0.18841426,-0.20124269,-0.16909339,-0.15693671,-0.14189116,-0.17672953,-0.1682776,-0.15777759,-0.17117274,-0.119892818,-0.16298632,-0.18601243,-0.18217537,-0.16412956,-0.15833989,-0.106057845,-0.15414619,-0.17903774,-0.17733633,-0.16475348,-0.10613699
69.55052,-0.131941,-0.10214594,-0.092218,-0.09944961,-0.10766707,-0.09639506,-0.07380386,-0.07763858,-0.09273999,-0.07888718,-0.07555942,-0.08168921,-0.065432118,-0.08335893,-0.10139801,-0.08914361,-0.0931243,-0.08556069,-0.060625146,-0.07190705,-0.09604246,-0.08716222,-0.10858655,-0.07634554
81.50918,-0.1758758,-0.17460713,-0.16269967,-0.16128682,-0.1644036,-0.14931903,-0.13845859,-0.14872326,-0.15140121,-0.14005684,-0.13461438,-0.13758179,-0.143887071,-0.15127099,-0.15558582,-0.14780324,-0.14785385,-0.14843777,-0.134122516,-0.13846172,-0.15581751,-0.15114204,-0.16735862,-0.15471018
77.59638,-0.1671737,-0.12943073,-0.1186168,-0.12865337,-0.13847449,-0.12293112,-0.10021587,-0.10092496,-0.11988772,-0.10680858,-0.10185024,-0.10946218,-0.086561952,-0.11031557,-0.12911503,-0.11922703,-0.11985683,-0.11203561,-0.079766032,-0.09845541,-0.12382162,-0.11721449,-0.13583914,-0.09510144
103.31045,-0.2280655,-0.22921932,-0.21782915,-0.21648228,-0.21887726,-0.2027769,-0.19387072,-0.20234531,-0.20451353,-0.19492446,-0.18964024,-0.19303077,-0.202271524,-0.20555146,-0.20963102,-0.20200667,-0.19932141,-0.20628654,-0.187731933,-0.19752629,-0.2114121,-0.20797473,-0.21810918,-0.21003257
72.84271,-0.1434614,-0.13632586,-0.12321105,-0.12479481,-0.1280736,-0.11390824,-0.10000727,-0.11131169,-0.11692246,-0.10324582,-0.0988678,-0.1029465,-0.101109108,-0.11145367,-0.1214754,-0.11092457,-0.11388267,-0.10976098,-0.0934059,-0.09738519,-0.11727719,-0.11101412,-0.13139579,-0.11091556
81.48432,-0.1757278,-0.16991285,-0.15709323,-0.15657803,-0.16121732,-0.14543932,-0.13296512,-0.14306441,-0.14659725,-0.13480391,-0.12906509,-0.13255677,-0.135144711,-0.14496326,-0.1513283,-0.14372232,-0.14370725,-0.14261411,-0.123434079,-0.13027434,-0.15035021,-0.14534469,-0.16389847,-0.14566167
73.24285,-0.1564472,-0.10295178,-0.09441937,-0.11032294,-0.12035957,-0.10657627,-0.07495235,-0.07124847,-0.10251877,-0.08907379,-0.08370349,-0.09447895,-0.054853559,-0.08939229,-0.11424168,-0.10081174,-0.1020233,-0.09084549,-0.056831895,-0.0835922,-0.10595242,-0.10029739,-0.1114172,-0.06330143
108.0373,-0.2343723,-0.20528892,-0.19829022,-0.20670794,-0.21202432,-0.19037122,-0.17837333,-0.17865518,-0.19461279,-0.18366814,-0.17813534,-0.18728031,-0.170717829,-0.18687645,-0.20260289,-0.19411707,-0.18975903,-0.19125532,-0.154465967,-0.18050959,-0.1993928,-0.1943751,-0.19822329,-0.16758999
71.37469,-0.1386117,-0.11333073,-0.10333996,-0.10838712,-0.11651139,-0.10484447,-0.08478875,-0.08876784,-0.10098328,-0.08858699,-0.0844309,-0.08975331,-0.077375823,-0.09402639,-0.10918259,-0.09905589,-0.10106325,-0.09525462,-0.070000331,-0.08137529,-0.10548831,-0.09743565,-0.11852767,-0.0887616
73.80015,-0.1463691,-0.13757356,-0.1257294,-0.12703698,-0.13096152,-0.11754138,-0.10321308,-0.11302201,-0.11893191,-0.1061167,-0.10167945,-0.10567882,-0.103849519,-0.11430185,-0.12420227,-0.11410891,-0.1165855,-0.11319289,-0.095917714,-0.10089183,-0.12105259,-0.1145239,-0.13440442,-0.11428381
