V,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24
89.74522085,-0.19804374,-0.169022958,-0.159472305,-0.167163028,-0.173675643,-0.156776135,-0.139016001,-0.141658688,-0.156964325,-0.144292356,-0.139631827,-0.147178561,-0.131578678,-0.149174989,-0.165448845,-0.155181986,-0.155316843,-0.152271103,-0.122017532,-0.139488926,-0.161964523,-0.155312211,-0.169790983,-0.137081537
68.66484555,-0.126654841,-0.101461159,-0.091817774,-0.096758132,-0.105076907,-0.094396127,-0.074186674,-0.077858766,-0.089968472,-0.077834521,-0.073853743,-0.078942847,-0.066461693,-0.082882199,-0.098153758,-0.088081156,-0.09027679,-0.08406617,-0.059494183,-0.070331666,-0.094334183,-0.086019149,-0.107384587,-0.078286089
94.24281125,-0.206932213,-0.204232839,-0.192963827,-0.192503205,-0.195239886,-0.179805304,-0.168764757,-0.177688617,-0.181325609,-0.170668058,-0.16563509,-0.169405383,-0.174779633,-0.180736064,-0.187004523,-0.178349778,-0.177356131,-0.181066307,-0.162764469,-0.171084381,-0.187373083,-0.182784381,-0.19642014,-0.183715322
90.76795262,-0.218307453,-0.125330639,-0.11795574,-0.155384374,-0.174466715,-0.141541018,-0.102570369,-0.05948882,-0.144900427,-0.143826461,-0.121423232,-0.141613305,-0.008738298,-0.12179731,-0.162025952,-0.153775294,-0.098701171,-0.067916287,-0.033234036,-0.11712056,-0.137298771,-0.13813419,-0.051748916,0.02470377
89.36235436,-0.208578897,-0.145543665,-0.138866147,-0.160303331,-0.168442764,-0.144828409,-0.11639972,-0.105627089,-0.150335754,-0.138676839,-0.126903441,-0.143727371,-0.079758027,-0.134100303,-0.161097223,-0.148703551,-0.134891821,-0.122373541,-0.077014851,-0.134078941,-0.147743101,-0.147841967,-0.1212007,-0.058708423
72.24284963,-0.147282601,-0.113223286,-0.101400757,-0.109431242,-0.120982075,-0.106924589,-0.084920934,-0.085302565,-0.100723715,-0.09000983,-0.084039933,-0.08989646,-0.070190994,-0.093387019,-0.110037322,-0.103252451,-0.101216799,-0.093732555,-0.059957801,-0.078760412,-0.105690725,-0.099990195,-0.121132857,-0.081775947
88.44811805,-0.202012191,-0.211306784,-0.197270396,-0.196863895,-0.195263578,-0.1740008,-0.168052903,-0.182454362,-0.185168747,-0.171642044,-0.165419669,-0.167815585,-0.177669925,-0.183485808,-0.186330941,-0.177846599,-0.177738651,-0.179120369,-0.17075957,-0.170989695,-0.184530792,-0.182569321,-0.196955103,-0.187606094
79.1651645,-0.174078421,-0.1291622,-0.119348745,-0.131623722,-0.142986194,-0.126863221,-0.102860457,-0.09854313,-0.122583032,-0.111534418,-0.105378926,-0.113919343,-0.083334251,-0.113274324,-0.133353518,-0.124827315,-0.121043885,-0.113689045,-0.076824557,-0.102859939,-0.128326723,-0.122890722,-0.136529515,-0.091389558
93.39429385,-0.204472539,-0.192884624,-0.181877033,-0.183418505,-0.188214692,-0.172229552,-0.158930984,-0.166139628,-0.172380419,-0.161265143,-0.15627461,-0.161003492,-0.160051371,-0.16958681,-0.17917645,-0.170527695,-0.16945329,-0.170876498,-0.146756849,-0.158613379,-0.178381105,-0.172797854,-0.188183069,-0.167633103
69.37281729,-0.128803583,-0.109995624,-0.099802782,-0.102563326,-0.109922383,-0.098759735,-0.081382261,-0.086605512,-0.095263772,-0.083853559,-0.079333337,-0.083654147,-0.076026307,-0.090072032,-0.102325475,-0.093615405,-0.095047573,-0.090173292,-0.067254065,-0.076451229,-0.099612087,-0.092055511,-0.113141014,-0.087787919
